kyori,Z0,wl0
2208.824879,-23.88,43
2208.824879,-18.67,72.3
2208.824879,-17.22,73.5
2208.824879,-21.56,74.2
2208.824879,-15.76,84.4
2208.824879,-14.31,87
2208.824879,-20.11,88.8
2151.833284,-22.25,38.8
2151.833284,-20.81,77
2151.833284,-19.36,90.9
2151.833284,-17.92,92.6
2151.833284,-16.46,92.7
2122.606413,-21.45,72.6
2122.606413,-20.01,91.8
2122.281399,-19.8,38.2
2122.281399,-19.8,54.7
2122.281399,-18.28,93.5
2122.281399,-16.22,95
2122.281399,-14.85,96.4
2100.212415,-19.53,93.8
2077.875235,-21.06,57.1
2077.875235,-19.06,93.2
2077.875235,-17.01,95.9
2032.686551,-24.38,95.3
2032.686551,-21.38,97.5
2032.686551,-19.48,99.6
2032.686551,-16.48,103.8
2019.456269,-21.56,46.4
2019.456269,-18.81,94.1
1734.278879,-19.35,42
1716.661485,-19.15,33.2
1716.661485,-17.3,97.3
1714.950863,-19.35,37.5
1714.950863,-18.35,99.5
1694.447723,-18.45,38.1
1660.935086,-17.5,56.5
1645.878951,-17.9,54.1
1645.878951,-16.4,89.5
1645.878951,-14.9,93.3
1645.797895,-17.4,81
792.125322,-11.49,31.3
760.4310647,-12.5,35.5
525.418765,-19.53,40.7
453.1456124,-15.89,32.1
