code A,code B,位置,開始年,,,終了年,,,,ボーリング上面の標高,ボーリング長さ,,N0,E0,,,,深度,標高,,,,,礫,砂,シルト,粘土,wl0,wp,土粒子密度,w,湿潤密度,間隙比,飽和度
O986P575,No.5    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,12,1998,7,15,KP,-15.73,34.35,0,34.6373779,135.2242848,T- 2,3,3.8,3.4,-19.13,T- 2,P002,T- 2,P002,0,2,51,47,96.3,33.3,2.68,86.9,1.499,2.341,99.4
O986P575,No.5    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,12,1998,7,15,KP,-15.73,34.35,0,34.6373779,135.2242848,T- 3,5,5.8,5.4,-21.13,T- 3,P003,T- 3,P003,0,2,56,42,95.9,29.6,2.683,77.5,1.543,2.087,99.6
O986P575,No.5    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,12,1998,7,15,KP,-15.73,34.35,0,34.6373779,135.2242848,T- 4,7,7.8,7.4,-23.13,T- 4,P004,T- 4,P004,0,2,53,45,91.3,28.1,2.685,71.8,1.571,1.937,99.5
O986P575,No.5    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,12,1998,7,15,KP,-15.73,34.35,0,34.6373779,135.2242848,T- 5,9,9.8,9.4,-25.13,T- 5,P005,T- 5,P005,0,2,59,39,96.7,32.5,2.681,73.4,1.561,1.977,99.5
O986P575,No.5    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,12,1998,7,15,KP,-15.73,34.35,0,34.6373779,135.2242848,T- 6,11,11.8,11.4,-27.13,T- 6,P006,T- 6,P006,0,1,56,43,94.9,31.1,2.682,74,1.56,1.993,99.6
O986P575,No.5    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,12,1998,7,15,KP,-15.73,34.35,0,34.6373779,135.2242848,T- 7,13,13.65,13.32,-29.05,T- 7,P007,T- 7,P007,0,2,57,41,90.2,30.7,2.636,72.4,1.558,1.915,99.6
O986P575,No.5    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,12,1998,7,15,KP,-15.73,34.35,0,34.6373779,135.2242848,T- 8,15,15.8,15.4,-31.13,T- 8,P008,T- 8,P008,0,1,55,44,92.5,28.8,2.667,70.2,1.576,1.88,99.6
O986P575,No.5    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,12,1998,7,15,KP,-15.73,34.35,0,34.6373779,135.2242848,T- 9,17,17.8,17.4,-33.13,T- 9,P009,T- 9,P009,0,1,49,50,87.6,29.7,2.705,68.4,1.592,1.862,99.4
O986P575,No.5    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,12,1998,7,15,KP,-15.73,34.35,0,34.6373779,135.2242848,T-10,19,19.8,19.4,-35.13,T-10,P010,T-10,P010,0,2,49,49,87,28.5,2.673,66.3,1.597,1.783,99.4
O986P575,No.5    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,12,1998,7,15,KP,-15.73,34.35,0,34.6373779,135.2242848,T-11,21,21.8,21.4,-37.13,T-11,P011,T-11,P011,4,42,30,24,86.2,26.6,2.692,60.7,1.643,1.642,99.5
O986P575,No.5    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,12,1998,7,15,KP,-15.73,34.35,0,34.6373779,135.2242848,T-12,23,23.4,23.2,-38.93,T-12,P012,T-12,P012,0,1,43,56,78.4,24.1,2.693,52.2,1.699,1.412,99.5
O986P575,No.5    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,12,1998,7,15,KP,-15.73,34.35,0,34.6373779,135.2242848,T-13,25,25.8,25.4,-41.13,T-13,P013,T-13,P013,3,25,41,31,64,20.5,2.662,30.4,1.914,0.813,99.5
O986P575,No.5    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,12,1998,7,15,KP,-15.73,34.35,0,34.6373779,135.2242848,P- 1,26.15,26.45,26.3,-42.03,P- 1,P014,P- 1,P014,6,55,28,11,0,0,2.594,35.8,0,0,0
O986P576,No.6    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,21,1998,7,28,KP,-15.6,33.34,0,34.6352348,135.2147681,T- 1,1,1.8,1.4,-17,T- 1,P001,T- 1,P001,0,1,36,63,96.3,40.8,2.683,92.2,1.507,2.421,102.1
O986P576,No.6    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,21,1998,7,28,KP,-15.6,33.34,0,34.6352348,135.2147681,T- 2,3,3.8,3.4,-19,T- 2,P002,T- 2,P002,0,1,40,59,87.6,37,2.665,79.6,1.539,2.11,100.5
O986P576,No.6    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,21,1998,7,28,KP,-15.6,33.34,0,34.6352348,135.2147681,T- 3,5,5.8,5.4,-21,T- 3,P003,T- 3,P003,0,1,39,60,84.9,38.5,2.659,77.4,1.537,2.068,99.5
O986P576,No.6    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,21,1998,7,28,KP,-15.6,33.34,0,34.6352348,135.2147681,T- 4,7,7.8,7.4,-23,T- 4,P004,T- 4,P004,0,0,36,64,84.5,35,2.663,67.4,1.597,1.792,100.3
O986P576,No.6    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,21,1998,7,28,KP,-15.6,33.34,0,34.6352348,135.2147681,T- 5,9,9.8,9.4,-25,T- 5,P005,T- 5,P005,0,1,36,63,82.7,35.1,2.671,68.8,1.581,1.851,99.2
O986P576,No.6    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,21,1998,7,28,KP,-15.6,33.34,0,34.6352348,135.2147681,T- 6,11,11.8,11.4,-27,T- 6,P006,T- 6,P006,0,0,41,59,80.5,34.7,2.669,69.9,1.591,1.851,100.9
O986P576,No.6    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,21,1998,7,28,KP,-15.6,33.34,0,34.6352348,135.2147681,T- 7,13,13.8,13.4,-29,T- 7,P007,T- 7,P007,0,0,35,65,80.5,31.7,2.687,62.3,1.615,1.701,98.4
O986P576,No.6    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,21,1998,7,28,KP,-15.6,33.34,0,34.6352348,135.2147681,T- 8,15,15.8,15.4,-31,T- 8,P008,T- 8,P008,0,0,38,62,80.6,33.3,2.677,64.5,1.616,1.725,100.1
O986P576,No.6    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,21,1998,7,28,KP,-15.6,33.34,0,34.6352348,135.2147681,T- 9,17,17.8,17.4,-33,T- 9,P009,T- 9,P009,0,1,38,61,77.1,31.2,2.69,63.4,1.614,1.724,98.9
O986P576,No.6    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,21,1998,7,28,KP,-15.6,33.34,0,34.6352348,135.2147681,T-10,19,19.8,19.4,-35,T-10,P010,T-10,P010,0,3,37,60,82,31.9,2.683,65.1,1.61,1.751,99.7
