code A,code B,位置,N0,E0,試験深度,砂,シルト,粘土,土粒子密度,distance,wl0
O611K011,"No.56-1 ","大阪府泉州沖海域                    ",34.4201314,135.2826847,-17.9,16,33,36,2.673,3016.60316,97.1
O227P088,"No.16   ","神戸港第２，第３防波堤附近          ",34.6654881,135.21556,-18.88,12,34,54,2.73,2949.35975,97.1
O621K112,"No.D-5  ","大阪府泉州沖海域                    ",34.4319447,135.2627783,-24.3,0,53,47,2.55,5265.068009,97.0
O201P005,"No.2    ","神戸市生田区新港町・茸合区小野浜町  ",34.6555619,135.2243719,-20.4,8,37,55,2.565,4292.002543,97.0
O237p182,"No.6    ","神戸市生田区神戸港外海面            ",34.6697917,135.2154369,-19.83,2,42,56,2.665,2513.826512,96.8
S801U131,"2K00012 ","神戸市中央区港島南町6               ",34.6515278,135.2245,-26.44,0,42,58,2.7,4698.186289,96.8
O612K023,No.56-13,"大阪府泉州沖海域                    ",34.4469453,135.2497217,-28.4,1,42,57,2.693,7253.408904,96.7
O988P599,"No.2- 9 ",神戸市中央区港島９丁目の地先公有水面,34.6293593,135.2420321,-21.2,1,42,57,2.7,7618.316711,96.7
O231P127,"No.P-11 ","神戸港新埠頭                        ",34.6637481,135.2214614,-23.5,0,42,58,2.677,3368.676215,96.7
O241P203,"No.1    ","神戸市ポートアイランド沖合          ",34.6587353,135.2238881,-25.3,1,42,57,2.672,3961.401947,96.7
O997P667,"No.1    ",神戸市中央区港島及び港島南町の地先公,34.6466939,135.2315281,-23.45,1,49,50,2.645,5469.026124,96.7
O988P599,"No.2- 9 ",神戸市中央区港島９丁目の地先公有水面,34.6293611,135.2420281,-21.2,1,42,57,2.7,7618.316711,96.7
O620k097,"No.G-1  ","大阪府泉州沖海域                    ",34.4419933,135.2547603,-22.0,0,38,62,2.653,6542.298244,96.6
O986P581,"No.11   ",神戸市中央区港島中町７丁目，９丁目地,34.642115,135.2334619,-36.93,9,54,37,2.621,6000.036445,96.6
O231P127,"No.P-11 ","神戸港新埠頭                        ",34.6637481,135.2214614,-19.5,2,43,55,2.613,3368.676215,96.5
O986P581,"No.11   ",神戸市中央区港島中町７丁目，９丁目地,34.642115,135.2334619,-32.93,1,52,47,2.628,6000.036445,96.5
O619K066,No.60B-1,"大阪府泉州沖海域                    ",34.4333333,135.2683328,-25.4,3,55,42,2.641,4972.503694,96.4
O237p184,"No.8    ","神戸市生田区神戸港外海面            ",34.6729167,135.21345,-14.85,2,49,49,2.703,2122.281399,96.4
O245P225,"No.3(N) ","中央区港島中町ポートアイランド沖    ",34.6534633,135.2209081,-23.51,1,43,56,2.689,4368.710956,96.4
O245P225,"No.3(N) ","中央区港島中町ポートアイランド沖    ",34.6534633,135.2209081,-17.51,2,43,55,2.695,4368.710956,96.3
S187P881,"KG05147 ","神戸市中央区港島地先                ",34.6485278,135.2245556,-19.89,1,42,57,2.697,5003.375358,96.3
O241P203,"No.1    ","神戸市ポートアイランド沖合          ",34.6587353,135.2238881,-16.3,1,46,53,2.674,3961.401947,96.0
O997P668,"No.2    ",神戸市中央区港島及び港島南町の地先公,34.6458061,135.2320561,-30.1,1,44,55,2.674,5578.633574,96.0
O621K116,"No.E-8  ","大阪府泉州沖海域                    ",34.4344453,135.261945,-24.6,2,52,46,2.659,5497.321108,95.9
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305913,135.2374541,-38.25,1,51,48,2.689,7305.673507,95.9
O988P604,"No.2-14 ",神戸市中央区港島９丁目の地先公有水面,34.6290263,135.2398652,-18.0,1,41,58,2.705,7559.295029,95.9
S314Q554,"KW01005 ","神戸市生田区新港第４突堤地先        ",34.6726667,135.2116944,-17.01,1,36,63,2.68,2077.875235,95.9
O986P580,"No.10   ",神戸市中央区港島中町７丁目，９丁目地,34.6305931,135.23745,-38.25,1,51,48,2.689,7305.673507,95.9
O988P604,"No.2-14 ",神戸市中央区港島９丁目の地先公有水面,34.6290281,135.2398611,-18.0,1,41,58,2.705,7559.295029,95.9
O620k097,"No.G-1  ","大阪府泉州沖海域                    ",34.4419933,135.2547603,-25.0,1,34,65,2.662,6542.298244,95.8
O003P002,"No.1    ","神戸港ポートアイランド沖            ",34.6488567,135.2251433,-14.1,2,51,46,2.688,4991.934948,95.8
O986P574,"No.4    ",神戸市中央区港島中町７丁目，９丁目地,34.6360487,135.2321468,-27.3,0,39,61,2.656,6551.037688,95.6
